time,magnitude
0,-1.326258529
0.002,-0.865406365
0.004,-0.353973705
0.006,0.14595572176124605
0.008,0.5767409239048965
0.01,0.8937840768735552
0.012,1.0720533103694168
0.014,1.109529981460141
0.016,1.0270581620646082
0.018,0.8646299724635635
0.02,0.6746908543399445
0.022,0.5135090236875011
0.024,0.4319522260000238
0.026,0.46710644970357795
0.028,0.6360413245537184
0.03,0.9326955706836719
0.032,1.328374159668713
0.034,1.7757910720862495
0.036,2.216043690619256
0.038,2.5874514333777063
0.04,2.8349021410833624
0.042,2.918269588412624
0.044,2.818606693904737
0.046,2.541159837155887
0.048,2.1147376686150765
0.05,1.5875277471057407
0.052,1.019999999
0.054,0.4759832936876045
0.056,0.013281480098401577
0.058,-0.324735137
0.06,-0.515278326
0.062,-0.559095083
0.064,-0.479783084
0.066,-0.319587017
0.068,-0.132336692
0.07,0.025372035
0.072,0.10338238092597385
0.074,0.066138207
0.076,-0.101465431
0.078,-0.391452441
0.08,-0.773768084
0.082,-1.2007634
0.084,-1.61447275
0.086,-1.955563026
0.088,-2.172573388
0.09,-2.23001766
0.092,-2.114094953
0.094,-1.835121087
0.096,-1.426297296
0.098,-0.938996
0.1,-0.435279278
0.102,0.021208563531191493
0.104,0.3745827178585056
0.106,0.5848663783463187
0.108,0.6337022174999491
0.11,0.526758252
0.112,0.29246826753657673
0.114,-0.022689067
0.116,-0.361636011
0.118,-0.665711606
0.12,-0.883862348
0.122,-0.980587378
0.124,-0.941411743
0.126,-0.775044348
0.128,-0.511890148
0.13,-0.199150059
0.132,0.10673019361650521
0.134,0.3490907609913048
0.136,0.4801668485959758
0.138,0.46886204005620324
0.14,0.3059763589319049
0.142,0.006071334
0.144,-0.394327653
0.146,-0.841926933
0.148,-1.274469197
0.15,-1.629955658
0.152,-1.855874809
0.154,-1.917024707
0.156,-1.800731146
0.158,-1.518663911
0.16,-1.104975929
0.162,-0.611055082
0.164,-0.097698581
0.166,0.3740848454222821
0.168,0.7522301965503019
0.17,1.0013225811536097
0.172,1.1076735689995916
0.174,1.0809933902195024
0.176,0.9524110242842208
0.178,0.7691583711756875
0.18,0.5867498402484435
0.182,0.4598753977767993
0.184,0.4334237571471209
0.186,0.5350323475461835
0.188,0.7703250472521705
0.19,1.121583747485487
0.192,1.5500695947802399
0.194,2.001645996487468
0.196,2.4148450954551945
0.198,2.7301411333796404
0.2,2.899006279
0.202,2.8913560959766187
0.204,2.7002380459405715
0.206,2.343039352056194
0.208,1.8590250600679847
0.21,1.3035808667290893
0.212,0.7400414059076578
0.214,0.2303552109787388
0.216,-0.173984563
0.218,-0.439356751
0.22,-0.554644921
0.222,-0.532384792
0.224,-0.406262491
0.226,-0.225362299
0.228,-0.046063313
0.23,0.077153745
0.232,0.10056126464413484
0.234,-0.001673954
0.236,-0.233172283
0.238,-0.574518421
0.24,-0.986066186
0.242,-1.413941949
0.244,-1.79832263
0.246,-2.082711592
0.248,-2.222779951
0.25,-2.193405873
0.252,-1.992820468
0.254,-1.643213195
0.256,-1.187694101
0.258,-0.684070552
0.26,-0.196386278
0.262,0.2144851494914939
0.264,0.499754834
0.266,0.629779335
0.268,0.5981913954771207
0.27,0.4224753285659746
0.272,0.1409089119640519
0.274,-0.193647475
0.276,-0.522149154
0.278,-0.788652008
0.28,-0.949048127
0.282,-0.977903026
0.284,-0.872339774
0.286,-0.652372575
0.288,-0.357641566
0.29,-0.041057163
0.292,0.23965957770037882
0.294,0.4312282774204302
0.296,0.4934165426665054
0.298,0.4056657452823812
0.3,0.17070239100048445
0.302,-0.185433683
0.304,-0.61696093
0.306,-1.064989192
0.308,-1.466203609
0.31,-1.76227186
0.312,-1.908534732
0.314,-1.880649261
0.316,-1.678167794
0.318,-1.32450696
0.32,-0.863315189
0.322,-0.351800632
0.324,0.14795209598090336
0.326,0.5783399333944169
0.328,0.8948356528854042
0.33,1.0724995008070035
0.332,1.1094120382141708
0.334,1.0265081454432659
0.336,0.8638482132253824
0.338,0.6739127977307348
0.34,0.5129666192774897
0.342,0.4318358692433556
0.344,0.46753339615010225
0.346,0.6370354986326922
0.348,0.9341819319712039
0.35,1.3301885417497736
0.352,1.7777040191091684
0.354,2.217794652943411
0.356,2.588788080007657
0.358,2.8356187502340324
0.36,2.9182386115034307
0.362,2.8177986320859434
0.364,2.539648362440799
0.366,2.1126891876598064
0.368,1.585176995566807
0.37,1.0176153997094515
0.372,0.4738273848717959
0.374,0.011572467
0.376,-0.32585482
0.378,-0.515761652
0.38,-0.558995299
0.382,-0.479243098
0.384,-0.318815012
0.386,-0.131571771
0.388,0.025898824614605798
0.39,0.10348559068896446
0.392,0.06570826
0.394,-0.102443932
0.396,-0.392897219
0.398,-0.775511084
0.4,-1.202576235
0.402,-1.616101797
0.404,-1.956768751
0.406,-2.173167828
0.408,-2.229894264
0.41,-2.113246162
0.412,-1.833640902
0.414,-1.424368402
0.416,-0.936863384
0.418,-0.433214361
0.42,0.022947797
0.422,0.3757895169062525
0.424,0.5854151511876161
0.426,0.6335660436376405
0.428,0.5260113193693717
0.43,0.29127290545373175
0.432,-0.024108718
0.434,-0.363029606
0.436,-0.666841955
0.438,-0.884542455
0.44,-0.980709422
0.442,-0.940963548
0.444,-0.774110794
0.446,-0.510639329
0.448,-0.197806337
0.45,0.10792205493264612
0.452,0.34990481418598923
0.454,0.48043245717737915
0.456,0.46849196888595945
0.458,0.3049820863607211
0.46,0.004563174
0.462,-0.396155692
0.464,-0.843825263
0.466,-1.276169465
0.468,-1.631210625
0.47,-1.856495191
0.472,-1.916907336
0.474,-1.799874142
0.476,-1.517166549
0.478,-1.103023243
0.48,-0.608889575
0.482,-0.095583414
0.484,0.375905521
0.486,0.7535676754620084
0.488,1.0020712083016998
0.49,1.107825289852225
0.492,1.080637045596917
0.494,0.9517165404524013
0.496,0.7683483311251885
0.498,0.5860628700960395
0.5,0.4595270659256355
0.502,0.4335710679572976
0.504,0.535747357
0.506,0.7715817171140233
0.508,1.1232601192353298
0.51,1.5519649843907288
0.512,2.003510604514065
0.514,2.4164174980107647
0.516,2.731187900408033
0.518,2.8993576299374793
0.52,2.8909321058755553
0.522,2.6990613616697567
0.524,2.3412324514972145
0.526,1.8567924589956681
0.528,1.3011789918288008
0.53,0.7377407457089187
0.532,0.22840054029200785
0.534,-0.175409798
0.536,-0.440156448
0.538,-0.554822772
0.54,-0.53204132
0.542,-0.405577162
0.544,-0.224563541
0.546,-0.045391111
0.548,0.077486873
0.55,0.10040483925979837
0.552,-0.002383623
0.554,-0.23440101
0.556,-0.576138453
0.558,-0.987875279
0.56,-1.415694254
0.562,-1.799766654
0.564,-2.083629362
0.566,-2.223021327
0.568,-2.192912716
0.57,-1.991636874
0.572,-1.641480222
0.574,-1.185629723
0.576,-0.681937902
0.578,-0.194455028
0.58,0.21597838275327563
0.582,0.5006409984854763
0.584,0.6299811014844393
0.586,0.59773329
0.588,0.4214783272034843
0.59,0.13957036800201875
0.592,-0.195085437
0.594,-0.523437878
0.596,-0.789575256
0.598,-0.949455735
0.6,-0.977734047
0.602,-0.871631565
0.604,-0.651254427
0.606,-0.356313868
0.608,-0.039759356
0.61,0.2406873025900632
0.612,0.43178358835011654
0.614,0.49336788571237145
0.616,0.4049744566330007
0.618,0.16943054147528835
0.62,-0.187130972
0.622,-0.618857563
0.624,-1.066821224
0.626,-1.467708352
0.628,-1.763226993
0.63,-1.908791422
0.632,-1.880154231
0.634,-1.676970956
0.636,-1.322753464
0.638,-0.861223113
0.64,-0.349627775
0.642,0.14994721993814314
0.644,0.579936893
0.646,0.8958847313048545
0.648,1.0729431598546204
0.65,1.1092919405872654
0.652,1.0259566952237096
0.654,0.8630659644159562
0.656,0.6731352635926843
0.658,0.5124256516233948
0.66,0.43172161523511454
0.662,0.46796275118093245
0.664,0.6380319712434986
0.666,0.9356700750469709
0.668,1.3320038550800652
0.67,1.7796168385675986
0.672,2.2195443795488807
0.674,2.5901225013781084
0.676,2.836332414354568
0.678,2.9182043506600674
0.68,2.8169873822077536
0.682,2.5381342187023463
0.684,2.110638904451402
0.686,1.5828255285650836
0.688,1.015231231628186
0.69,0.47167294426900885
0.692,0.0098657
0.694,-0.326971849
0.696,-0.516242342
0.698,-0.558893305
0.7,-0.478701663
0.702,-0.318042528
0.704,-0.130807389
0.706,0.026424175439888287
0.708,0.10358672301728655
0.71,0.065275965
0.712,-0.103424635
0.714,-0.394343659
0.716,-0.777254887
0.718,-1.204388831
0.72,-1.61772954
0.722,-1.957972248
0.724,-2.173759402
0.726,-2.229767755
0.728,-2.112394445
0.73,-1.83215839
0.732,-1.422438104
0.734,-0.934730479
0.736,-0.431150299
0.738,0.024685174516038577
0.74,0.3769937426907689
0.742,0.5859610232562523
0.744,0.6334270732716839
0.746,0.525262103
0.748,0.29007609685337193
0.75,-0.025528789
0.752,-0.364422566
0.754,-0.667970752
0.756,-0.885220374
0.758,-0.98082902
0.76,-0.940513066
0.762,-0.773175501
0.764,-0.50938762
0.766,-0.196462739
0.768,0.1091127719465384
0.77,0.3507168650040118
0.772,0.4806955053462687
0.774,0.4681191730548786
0.776,0.30398535193300136
0.778,0.003053209
0.78,-0.397984577
0.782,-0.84572332
0.784,-1.277868347
0.786,-1.632463264
0.788,-1.857112614
0.79,-1.91678678
0.792,-1.799014164
0.794,-1.51566683
0.796,-1.101069124
0.798,-0.606723727
0.8,-0.093469003
0.802,0.37772450618600045
0.804,0.7549028303118279
0.806,1.002817267791758
0.808,1.1079746200357974
0.81,1.0802788720075138
0.812,0.9510210782865145
0.814,0.7675383115864037
0.816,0.5853769037765089
0.818,0.45918054441444944
0.82,0.43372068505074735
0.822,0.536464772
0.824,0.7728404737293331
0.826,1.124937880622197
0.828,1.5538607902142312
0.83,2.005374524126921
0.832,2.4179881430180727
0.834,2.7322320389246086
0.836,2.8997058132856997
0.838,2.8905048247944913
0.84,2.697881700371725
0.842,2.3394232806234383
0.844,1.8545585833992095
0.846,1.2987769802821822
0.848,0.7354410610365156
0.85,0.22644776869428795
0.852,-0.176832532
0.854,-0.440953446
0.856,-0.554998154
0.858,-0.531695985
0.86,-0.404890853
0.862,-0.22376482
0.864,-0.044719925
0.866,0.077818201
0.868,0.10024615032217687
0.87,-0.00309562
0.872,-0.235631713
0.874,-0.577759749
0.876,-0.989684666
0.878,-1.417445778
0.88,-1.801208882
0.882,-2.084544539
0.884,-2.223259662
0.886,-2.192416485
0.888,-1.990450608
0.89,-1.639745353
0.892,-1.183564486
0.894,-0.679805545
0.896,-0.192525163
0.898,0.2174693559490426
0.9,0.5015243724514691
0.902,0.6301799651508645
0.904,0.5972725984464197
0.906,0.4204794296379807
0.908,0.13823087904597875
0.91,-0.196523283
0.912,-0.52472548
0.914,-0.790496592
0.916,-0.949860974
0.918,-0.977562649
0.92,-0.8709213
0.922,-0.650134936
0.924,-0.35498578
0.926,-0.038462197
0.928,0.24171342269301638
0.93,0.43233657205119896
0.932,0.4933165330417154
0.934,0.40428052239984524
0.936,0.1681565153660528
0.938,-0.188829613
0.94,-0.620754491
0.942,-1.068652414
0.944,-1.469211206
0.946,-1.764179435
0.948,-1.909044985
0.95,-1.879656068
0.952,-1.675771409
0.954,-1.320998043
0.956,-0.859130141
0.958,-0.347455138
0.96,0.1519410896732914
0.962,0.5815317997178788
0.964,0.8969313111006213
0.966,1.0733842882641493
0.968,1.109169690962357
0.97,1.0254038150138285
0.972,0.8622832302714826
0.974,0.6723582560961943
0.976,0.511886124
0.978,0.43160946607941186
0.98,0.4683945152215243
0.982,0.6390307410327715
